,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,return_on_investment,year,movie_id,primary_title,original_title,runtime_minutes,genres,averagerating,numvotes,runtime,Horror,month
1197,47,2015-05-08,Maggie,4500000,187112,1027760,0.2283911111111111,2015,tt1881002,Maggie,Maggie,95.0,"Drama,Horror",5.6,38671,sweet spot,True,5
1200,55,2013-06-25,Hansel & Gretel Get Baked,4500000,0,0,0.0,2013,tt2081194,Hansel & Gretel Get Baked,Hansel & Gretel Get Baked,86.0,"Comedy,Horror",4.3,3225,under,True,6
1207,81,2015-01-23,The Boy Next Door,4000000,36006065,53401938,13.3504845,2015,tt3181822,The Boy Next Door,The Boy Next Door,91.0,"Horror,Thriller",4.7,34816,under,True,1
1210,90,2013-03-01,The Last Exorcism Part II,4000000,15179303,25448707,6.36217675,2013,tt2034139,The Last Exorcism Part II,The Last Exorcism Part II,88.0,"Drama,Horror,Thriller",4.0,15124,under,True,3
1211,98,2016-05-13,The Darkness,4000000,10753574,10898293,2.72457325,2016,tt1878841,The Darkness,The Darkness,92.0,"Horror,Thriller",4.4,12435,under,True,5
1214,22,2011-09-23,Red State,4000000,1065429,1983596,0.495899,2011,tt0873886,Red State,Red State,88.0,"Action,Crime,Horror",6.2,59266,under,True,9
1223,47,2011-04-22,Stake Land,4000000,33245,679482,0.1698705,2011,tt1464580,Stake Land,Stake Land,98.0,"Drama,Horror,Sci-Fi",6.5,38749,sweet spot,True,4
1224,51,2014-04-18,13 Sins,4000000,9134,47552,0.011888,2014,tt2059171,13 Sins,13 Sins,93.0,"Horror,Thriller",6.3,29550,under,True,4
1232,91,2018-04-13,Truth or Dare,3500000,41411015,95127344,27.179241142857144,2018,tt2125681,Truth or Dare,Truth or Dare,85.0,"Horror,Romance,Thriller",6.0,14,under,True,4
1233,94,2016-02-19,The Witch,3500000,25138705,40454520,11.558434285714286,2016,tt4263482,The Witch,The VVitch: A New-England Folktale,92.0,"Horror,Mystery",6.8,154278,under,True,2
1235,97,2013-02-22,Dark Skies,3500000,17418667,27704111,7.9154602857142855,2013,tt2387433,Dark Skies,Dark Skies,97.0,"Horror,Sci-Fi,Thriller",6.3,65754,sweet spot,True,2
1252,63,2013-04-12,Antiviral,3100000,0,123407,0.039808709677419354,2013,tt2099556,Antiviral,Antiviral,108.0,"Horror,Sci-Fi,Thriller",5.7,11025,sweet spot,True,4
1254,67,2013-06-07,The Purge,3000000,64473115,91266581,30.422193666666665,2013,tt2184339,The Purge,The Purge,85.0,"Horror,Thriller",5.7,183549,under,True,6
1255,69,2012-10-12,Sinister,3000000,48086903,87727807,29.242602333333334,2012,tt1922777,Sinister,Sinister,110.0,"Horror,Mystery,Thriller",6.8,198345,sweet spot,True,10
1262,28,2014-09-19,Tusk,3000000,1821983,1887554,0.6291846666666666,2014,tt3099498,Tusk,Tusk,102.0,"Comedy,Drama,Horror",5.3,40827,sweet spot,True,9
1265,33,2011-05-06,Hobo with a Shotgun,3000000,703372,834953,0.2783176666666667,2011,tt1640459,Hobo with a Shotgun,Hobo with a Shotgun,86.0,"Action,Comedy,Horror",6.1,41633,under,True,5
1268,38,2011-09-09,Creature,3000000,331000,331000,0.11033333333333334,2011,tt1686018,Creature,Creature,93.0,Horror,3.7,2723,under,True,9
1273,53,2012-01-13,The Divide,3000000,18000,156362,0.05212066666666667,2012,tt1535616,The Divide,The Divide,112.0,"Drama,Horror,Sci-Fi",5.8,33603,sweet spot,True,1
1274,56,2017-10-10,Demonic,3000000,0,4668109,1.5560363333333334,2017,tt1841642,Demonic,Demonic,83.0,"Horror,Thriller",5.3,12025,under,True,10
1279,68,2015-03-17,Something Wicked,3000000,0,0,0.0,2015,tt1327601,Something Wicked,Something Wicked,95.0,"Drama,Horror,Mystery",4.8,1243,sweet spot,True,3
1280,72,2015-08-14,Amnesiac,3000000,0,0,0.0,2015,tt2693114,Amnesiac,Amnesiac,90.0,"Drama,Horror,Thriller",2.3,104,under,True,8
1281,73,2015-12-31,Unnatural,3000000,0,0,0.0,2015,tt3551400,Unnatural,Unnatural,89.0,"Action,Horror,Sci-Fi",4.0,1590,under,True,12
1285,95,2015-12-31,Sardaar Ji,2700000,0,8200000,3.037037037037037,2015,tt4080386,Sardaar Ji,Sardaar Ji,141.0,"Comedy,Fantasy,Horror",6.5,1182,over,True,12
1295,44,2013-06-21,Alien Uprising,2500000,0,0,0.0,2013,tt2040578,Alien Uprising,U.F.O.,101.0,"Comedy,Horror,Sci-Fi",3.2,3166,sweet spot,True,6
1298,49,2016-09-02,Antibirth,2500000,0,0,0.0,2016,tt3333870,Antibirth,Antibirth,94.0,Horror,4.9,2759,sweet spot,True,9
1306,83,2012-12-31,Infected,2100000,0,0,0.0,2012,tt1622991,Infected,Infected,95.0,"Action,Horror,Sci-Fi",2.8,1028,sweet spot,True,12
1310,94,2015-03-13,It Follows,2000000,14674077,23250755,11.6253775,2015,tt3235888,It Follows,It Follows,100.0,"Horror,Mystery",6.9,182839,sweet spot,True,3
1312,97,2012-03-09,Silent House,2000000,12739737,16610760,8.30538,2012,tt1767382,Silent House,Silent House,86.0,"Drama,Horror,Mystery",5.3,20831,under,True,3
1324,41,2014-11-28,The Babadook,2000000,950792,7482387,3.7411935,2014,tt2321549,The Babadook,The Babadook,94.0,"Drama,Horror",6.8,171411,sweet spot,True,11
1332,76,2011-09-09,Grave Encounters,2000000,0,2151887,1.0759435,2011,tt1703199,Grave Encounters,Grave Encounters,92.0,Horror,6.1,48125,under,True,9
